Conductivity,Weight,Temperature1,Temperature2,Temperature3,Temperature4,Year,Month,Day,Hour,Minute,Second
530.21,2.5,22.47,22.54,22.47,22.17,2019,4,19,14,39,13
520.82,2.5,22.43,22.57,22.47,22.17,2019,4,19,14,39,18
530.21,2.5,22.47,22.54,22.47,22.17,2019,4,19,14,39,23
520.82,2.5,22.47,22.54,22.47,22.17,2019,4,19,14,39,28
525.51,2.5,22.47,22.54,22.44,22.17,2019,4,19,14,39,33
525.51,2.5,22.43,22.54,22.47,22.17,2019,4,19,14,39,38
525.51,2.5,22.43,22.54,22.44,22.20,2019,4,19,14,39,43
530.21,2.5,22.43,22.57,22.47,22.17,2019,4,19,14,39,48
520.82,2.5,22.47,22.57,22.47,22.17,2019,4,19,14,39,53
520.82,2.5,22.47,22.54,22.47,22.17,2019,4,19,14,39,58
530.21,2.5,22.47,22.57,22.47,22.17,2019,4,19,14,40,3
525.51,2.5,22.43,22.57,22.44,22.17,2019,4,19,14,40,8
520.82,2.5,22.43,22.57,22.44,22.17,2019,4,19,14,40,13
525.51,2.5,22.43,22.57,22.44,22.20,2019,4,19,14,40,18
525.51,3.0,22.47,22.54,22.47,22.17,2019,4,19,14,40,23
525.51,3.0,22.43,22.57,22.47,22.17,2019,4,19,14,40,28
525.51,3.0,22.43,22.54,22.47,22.17,2019,4,19,14,40,33
530.21,3.0,22.47,22.54,22.44,22.17,2019,4,19,14,40,38
525.51,3.0,22.47,22.57,22.47,22.17,2019,4,19,14,40,43
530.21,3.0,22.43,22.54,22.47,22.17,2019,4,19,14,40,48
530.21,3.0,22.43,22.54,22.47,22.17,2019,4,19,14,40,53
520.82,3.0,22.43,22.57,22.47,22.17,2019,4,19,14,40,58
525.51,3.0,22.43,22.54,22.47,22.14,2019,4,19,14,41,3
520.82,3.0,22.43,22.57,22.47,22.17,2019,4,19,14,41,8
530.21,3.0,22.43,22.57,22.47,22.17,2019,4,19,14,41,13
520.82,3.0,53,53,22.60,22.54,22.30,2019,4,19,14,41,23
530.21,3.0,22.57,22.64,22.54,22.30,2019,4,19,14,41,28
525.51,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,41,33
525.51,3.0,22.53,22.57,22.50,22.30,2019,4,19,14,41,38
525.51,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,41,43
520.82,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,41,48
525.51,3.0,22.57,22.64,22.54,22.30,2019,4,19,14,41,53
530.21,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,41,58
530.21,3.0,22.53,22.57,22.50,22.30,2019,4,19,14,42,3
530.21,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,42,8
520.82,3.0,22.53,22.57,22.54,22.30,2019,4,19,14,42,13
530.21,3.0,22.53,22.60,22.50,22.30,2019,4,19,14,42,18
530.21,3.0,22.57,22.60,22.50,22.30,2019,4,19,14,42,23
530.21,3.0,22.57,22.60,22.54,22.30,2019,4,19,14,42,28
525.51,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,42,33
525.51,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,42,38
520.82,3.0,22.57,22.60,22.54,22.30,2019,4,19,14,42,44
525.51,3.0,22.57,22.60,22.57,22.30,2019,4,19,14,42,48
520.82,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,42,54
520.82,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,42,59
520.82,3.0,22.57,22.60,22.50,22.30,2019,4,19,14,43,3
530.21,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,43,9
525.51,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,43,14
520.82,3.0,22.53,22.60,22.50,22.30,2019,4,19,14,43,19
520.82,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,43,24
525.51,3.0,22.53,22.60,22.50,22.30,2019,4,19,14,43,29
520.82,3.0,22.53,22.57,22.54,22.30,2019,4,19,14,43,34
520.82,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,43,39
520.82,3.0,22.57,22.60,22.50,22.30,2019,4,19,14,43,44
530.21,3.0,22.53,22.60,22.54,22.27,2019,4,19,14,43,49
525.51,3.0,22.53,22.60,22.50,22.30,2019,4,19,14,43,54
520.82,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,43,59
525.51,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,44,4
520.82,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,44,9
525.51,3.0,22.57,22.60,22.54,22.30,2019,4,19,14,44,14
525.51,3.0,22.57,22.60,22.54,22.30,2019,4,19,14,44,19
520.82,3.0,22.53,22.64,22.54,22.30,2019,4,19,14,44,24
520.82,3.0,22.53,22.60,22.50,22.30,2019,4,19,14,44,29
530.21,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,44,34
520.82,3.0,22.57,22.60,22.54,22.30,2019,4,19,14,44,39
530.21,3.0,22.53,22.60,22.50,22.30,2019,4,19,14,44,44
530.21,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,44,49
525.51,3.0,22.53,22.60,22.54,22.27,2019,4,19,14,44,54
530.21,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,44,59
520.82,3.0,22.50,22.60,22.54,22.27,2019,4,19,14,45,4
525.51,3.0,22.53,22.60,22.54,22.30,2019,4,19,14,45,9
516.13,3.5,22.53,22.60,22.54,22.34,2019,4,19,14,45,14
525.51,3.5,22.53,22.60,22.50,22.30,2019,4,19,14,45,19
530.21,3.5,22.53,22.60,22.50,22.30,2019,4,19,14,45,24
525.51,3.5,22.53,22.60,22.54,22.30,2019,4,19,14,45,29
530.21,3.5,22.53,22.64,22.54,22.34,2019,4,19,14,45,34
525.51,3.5,22.53,22.60,22.50,22.30,2019,4,19,14,45,39
525.51,3.5,22.57,22.60,22.54,22.30,2019,4,19,14,45,44
520.82,3.5,22.53,22.60,22.54,22.34,2019,4,19,14,45,49
520.82,3.5,22.53,22.60,22.50,22.30,2019,4,19,14,45,54
530.21,3.5,22.53,22.60,22.54,22.30,2019,4,19,14,45,59
530.21,3.5,22.57,22.64,22.54,22.30,2019,4,19,14,46,4
525.51,3.5,22.53,22.64,22.54,22.30,2019,4,19,14,46,9
520.82,3.5,22.57,22.60,22.54,22.30,2019,4,19,14,46,14
530.21,3.5,22.57,22.60,22.54,22.30,2019,4,19,14,46,19
525.51,3.5,22.57,22.60,22.54,22.30,2019,4,19,14,46,24
525.51,3.5,22.53,22.60,22.54,22.34,2019,4,19,14,46,29
530.21,3.5,22.57,22.57,22.54,22.34,2019,4,19,14,46,34
530.21,3.5,22.57,22.60,22.54,22.30,2019,4,19,14,46,39
530.21,3.5,22.53,22.64,22.54,22.30,2019,4,19,14,46,44
520.82,3.5,22.53,22.57,22.50,22.30,2019,4,19,14,46,49
530.21,3.5,22.57,22.64,22.54,22.30,2019,4,19,14,46,54
520.82,3.5,22.53,22.64,22.50,22.34,2019,4,19,14,46,59
530.21,3.5,22.57,22.60,22.54,22.30,2019,4,19,14,47,4
520.82,3.5,22.57,22.60,22.54,22.34,2019,4,19,14,47,9
530.21,3.5,22.53,22.60,22.54,22.30,2019,4,19,14,47,14
520.82,3.5,22.53,22.64,22.57,22.30,2019,4,19,14,47,19
520.82,59.0,22.53,22.57,22.50,22.30,2019,4,19,14,47,24
530.21,0.0,22.57,22.64,22.54,22.30,2019,4,19,14,47,29
520.82,0.0,22.53,22.60,22.54,22.27,2019,4,19,14,47,34
520.82,0.0,22.57,22.60,22.54,22.30,2019,4,19,14,47,39
525.51,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,47,44
525.51,0.0,22.57,22.64,22.50,22.30,2019,4,19,14,47,49
525.51,0.0,22.57,22.60,22.54,22.30,2019,4,19,14,47,54
530.21,0.0,22.57,22.64,22.54,22.30,2019,4,19,14,47,59
525.51,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,48,4
525.51,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,48,9
