Cond	Weight	HotIn	HotOut	ColdIn	ColdOut	Month	Day	Hour	Minute	Second
473.90	1231.0	69.67	65.03	31.55	37.57	5	20	12	10	1
469.21	1242.0	69.56	65.06	31.65	37.67	5	20	12	11	1
469.21	1251.5	69.84	65.10	31.41	37.57	5	20	12	12	1
473.90	1261.5	69.63	65.13	31.45	37.50	5	20	12	13	1
473.90	1271.5	69.67	65.03	31.51	37.57	5	20	12	14	1
464.52	1282.5	69.60	65.03	31.41	37.50	5	20	12	15	2
464.52	1292.0	69.77	65.00	31.48	37.54	5	20	12	16	2
473.90	1302.5	70.86	65.92	31.34	37.67	5	20	12	17	2
473.90	1313.0	71.10	66.05	31.31	37.67	5	20	12	18	2
473.90	1323.5	70.93	66.05	31.38	37.74	5	20	12	19	2
469.21	1334.0	71.03	66.05	31.48	37.81	5	20	12	20	2
469.21	1344.5	71.13	66.05	31.41	37.77	5	20	12	21	2
473.90	1355.0	71.20	66.19	31.51	37.81	5	20	12	22	2
464.52	1365.5	70.96	66.09	31.55	37.94	5	20	12	23	2
464.52	1376.0	71.17	66.09	31.41	37.77	5	20	12	24	3
478.59	1386.5	71.03	66.12	31.38	37.77	5	20	12	25	3
469.21	1397.0	71.00	65.99	31.48	37.77	5	20	12	26	3
473.90	1407.5	71.13	66.09	31.45	37.84	5	20	12	27	3
473.90	1419.5	71.03	66.09	31.48	37.81	5	20	12	28	3
473.90	1429.0	71.07	66.09	31.48	37.77	5	20	12	29	3
473.90	1460.5	71.13	66.09	31.38	37.71	5	20	12	30	3
464.52	1460.5	71.13	66.12	31.82	38.15	5	20	12	32	3
436.36	1475.0	71.27	66.22	31.78	38.11	5	20	12	33	4
436.36	1488.0	71.17	66.22	31.65	38.08	5	20	12	34	4
436.36	1499.5	71.13	66.12	31.72	38.05	5	20	12	35	4
436.36	1511.0	71.07	66.16	31.65	38.05	5	20	12	36	4
436.36	1521.5	71.00	66.02	31.72	38.01	5	20	12	37	4
436.36	1531.5	71.07	66.09	31.82	38.08	5	20	12	38	4
431.67	1542.0	71.13	66.16	31.75	38.15	5	20	12	39	4
436.36	1552.0	71.00	66.09	31.75	38.05	5	20	12	40	4
431.67	1562.0	71.17	66.09	31.78	38.05	5	20	12	41	4
436.36	1572.0	71.13	66.22	31.99	38.25	5	20	12	42	4
441.06	1581.0	71.03	66.12	31.75	38.11	5	20	12	43	0
436.36	1591.0	71.00	66.09	31.78	38.08	5	20	12	44	0
